ID_Num Approach_pre Approach_rate_pre Avoid_pre Avoid_rate_pre AmbigApproach_pre AmbigApproach_rate_pre AmbigAvoid_pre AmbigAvoid_rate_pre Approach_post Approach_rate_post Avoid_post Avoid_rate_post AmbigApproach_post AmbigApproach_rate_post AmbigAvoid_post AmbigAvoid_rate_post
2046 16 2.695871946082558 16 2.8973260095370437 12 2.1756209584819035 3 2.0792422317199932 NA NA NA NA NA NA NA NA
2047 16 2.3616817141873137 11 1.4322916666666679 5 1.5988062246855697 10 1.7743604909064008 14 1.8249364531056478 16 2.297640132114311 4 2.430379746835448 10 1.9237551700920132
2050 14 2.4011662807649397 16 2.3733590447229873 14 1.5071860477634438 2 1.608794744603832 12 1.6085431514041242 16 1.6279188075494737 2 1.090909090909089 9 1.7438480914551404
2051 14 1.6736401673640153 16 2.3927022581127546 9 1.6372070460540284 4 2.038735983690109 15 1.8480872297172382 16 2.3592440588827994 7 1.57144460657762 2 2.178649237472759
2054 16 2.8959276018099525 16 2.966900516117065 16 2.2955523672883733 0 NA 16 2.7120942452750203 16 2.9254913911321023 3 2.381267363407852 13 2.6841018582243663
2055 14 1.894751088354047 16 2.4933769674302675 12 1.6028851933480264 1 1.9150973507820104 15 1.7559262510974547 16 1.9296870288849999 13 1.5799708313077319 2 1.8945374171139848
2056 16 2.4400162667751126 16 2.0496615923308514 12 1.638113439355677 4 1.707455890722824 15 2.823263692828904 16 2.8506102087478076 1 1.6326530612244898 15 2.420395869191051
2058 15 2.1133705912741267 16 2.2043121857133023 13 1.6463684910399552 3 1.993134758055584 8 2.259461495010357 8 2.360810544953766 1 1.756440281030445 7 2.4208888120352787
2059 16 2.80103871852479 15 3.0510543087666897 9 1.598910372190799 4 1.7610801291458735 16 2.5204788909892923 16 2.6742436904562963 15 2.1174477696216836 0 NA
2061 16 2.1175224986765464 16 2.0711974110032383 13 1.918960808915789 0 NA 16 2.2197045018381902 16 2.7576697690451537 15 1.8953752843062934 0 NA
2062 14 1.7634092578986018 15 2.3986567522187556 15 1.8012608826178327 1 1.6934801016088012 13 2.204884667571235 15 2.3101801940551367 16 1.8084885933349668 0 NA
2065 16 1.928601562970852 15 1.9956539092642662 15 1.89653355810768 0 NA 14 1.814529194478646 15 2.2376370552696385 1 1.8650917003419334 12 2.014493159116975
2067 NA NA NA NA NA NA NA NA 16 2.3103581055063573 16 2.7182376759067965 16 2.0254873829015096 0 NA
2068 16 1.8504953930375103 15 2.0243825633181864 15 1.7448285221302442 1 2.345582486317445 14 1.8120240740341202 16 2.075271838993499 14 1.9006244909041525 0 NA
2069 NA NA NA NA NA NA NA NA 15 2.2581859239744104 15 2.185845436440474 11 1.772145101092824 3 2.001779359430607
2073 NA NA NA NA NA NA NA NA 13 2.114394144754673 15 2.646124897095139 14 1.3941908713692945 1 1.4316392269148073
2074 15 2.47968039674886 16 1.9257000722137538 14 2.288454203672419 2 1.4796547472256494 16 2.608553882941144 16 2.857908368312947 14 1.9616543284836903 2 2.120141342756195
2075 16 2.15822486005261 15 2.2977354540580537 12 1.7945714214501156 4 2.071644367716868 4 1.4271273116489291 14 2.312266020700282 3 1.2661789532920662 2 1.6198704103671708
2077 15 2.862504373270566 15 3.1519226728304277 15 2.445918034568979 1 2.932551319648108 NA NA NA NA NA NA NA NA
2079 16 2.695720543636981 11 2.1074815595363545 14 2.250200910795607 1 1.6759776536312803 15 2.7987685418416 16 2.5544143472939194 15 2.03435804701628 1 2.422285022204299
2081 15 2.1857923497267775 16 2.0648713757205566 12 1.6402405686167305 2 1.4756517461878977 10 1.569201799351395 15 1.9820732486180535 11 1.7339673698867668 0 NA
